id,unit,name,start,end,agency,acres,cause,start_year,duration,map_date
BDU-4974,Los Angeles,Copper,2002-06-05,2002-06-12,USFS,23407,Under Invest.,2002,8,2000-06-05
BDU-4974,Los Angeles,Copper,2002-06-05,2002-06-12,USFS,23407,Under Invest.,2002,8,2000-06-05
BTU-6327,Butte,Skyway,2002-06-08,2002-06-09,CDF,2000,Under Invest.,2002,2,2000-06-08
BTU-6327,Butte,Skyway,2002-06-08,2002-06-09,CDF,2000,Under Invest.,2002,2,2000-06-08
AEU-8140,Amador,Twin,2002-06-08,2002-06-08,CDF,300,Undetermined,2002,1,2000-06-08
AEU-8140,Amador,Twin,2002-06-08,2002-06-08,CDF,300,Undetermined,2002,1,2000-06-08
SLU-2909,San Luis Obispo,Davis,2002-06-09,2002-06-09,CDF,2118,Rekindle,2002,1,2000-06-09
SLU-2909,San Luis Obispo,Davis,2002-06-09,2002-06-09,CDF,2118,Rekindle,2002,1,2000-06-09
NEU-8324,Yuba,Field,2002-06-09,2002-06-11,CDF,945,Under Invest.,2002,3,2000-06-09
AEU-8240,Amador,Pony,2002-06-09,2002-06-09,CDF,720,Elec. Power,2002,1,2000-06-09
FKU-7156,Fresno,Area,2002-06-09,2002-06-10,CDF,400,Elec. Power,2002,2,2000-06-09
FKU-7156,Fresno,Area,2002-06-09,2002-06-10,CDF,400,Elec. Power,2002,2,2000-06-09
SKU-1997,Siskiyou,Forks,2002-06-12,2002-06-15,USFS,1400,Under Invest.,2002,4,2000-06-12
TUU-5894,Tulare,State of Calif. #24,2002-06-14,2002-06-14,LOCAL,641,Vehicle,2002,1,2000-06-14
TUU-5931,Kern,Borel,2002-06-15,2002-06-17,CC,3430,Under Invest.,2002,3,2000-06-15
BDU-5283,San Bernardino,Bluecut,2002-06-16,2002-06-22,USFS,6864,Under Invest.,2002,7,2000-06-16
VAF-0364,Santa Barbara (Vand,Sudden Ranch,2002-06-17,2002-06-19,CC,7782,Under Invest.,2002,3,2000-06-17
ANF-1949,Los Angeles,Copo,2002-06-18,2002-06-21,USFS,1460,Under Invest.,2002,4,2000-06-18
SCU-2228,Alameda,Vieux,2002-06-18,2002-06-18,CDF,1029,Elec. Power,2002,1,2000-06-18
RRU-44585,Riverside,Mias (need correct),2002-06-18,2002-06-22,CDF,565,Under Invest.,2002,5,2000-06-18
MVU-4450,San Diego,Troy(4 exp rept with,2002-06-19,2003-06-22,CDF,1188,Campfire,2002,369,2000-06-19
MMU-10060,Madera,Box,2002-06-19,2002-06-19,LOCAL,300,Smoking,2002,1,2000-06-19
TUU-6214,Tulare,Stage,2002-06-22,2002-06-22,CDF,1100,Equip. Use,2002,1,2000-06-22
BDU-5640,San Bernardino,Louisiana,2002-06-26,2002-06-30,USFS,6574,Under Invest.,2002,5,2000-06-26
MMU-10594,Madera,600,2002-06-27,2002-06-27,LOCAL,448,Equip. Use,2002,1,2000-06-27
AEU-9828,El Dorado,Gondola,2002-07-03,2002-07-07,USFS,670,Human,2002,5,2000-07-03
AEU-9828,El Dorado,Gondola,2002-07-03,2002-07-07,USFS,670,Human,2002,5,2000-07-03
MMU-11097,Merced,Cottonwood,2002-07-04,2002-07-04,CDF,1000,Undetermined,2002,1,2000-07-04
MMU-11097,Merced,Cottonwood,2002-07-04,2002-07-04,CDF,1000,Undetermined,2002,1,2000-07-04
MMU-11533,Mariposa,White,2002-07-09,2002-07-10,CDF,300,Smoking,2002,2,2000-07-09
MMU-11533,Mariposa,White,2002-07-09,2002-07-10,CDF,300,Smoking,2002,2,2000-07-09
LMU-2109,Lassen,BLM #596,2002-07-12,2002-07-13,BLM,4500,Lightning,2002,2,2000-07-12
LMU-2109,Lassen,BLM #596,2002-07-12,2002-07-13,BLM,4500,Lightning,2002,2,2000-07-12
LMU-2073,Lassen,Black,2002-07-12,2002-07-13,BLM,300,Lightning,2002,2,2000-07-12
LMU-2073,Lassen,Black,2002-07-12,2002-07-13,BLM,300,Lightning,2002,2,2000-07-12
SRF-3560,Del Norte,Sour Biscuit-Zone 2,2002-07-13,2002-08-02,USFS,28772,Lightning,2002,21,2000-07-13
SRF-3560,Del Norte,Sour Biscuit-Zone 2,2002-07-13,2002-08-02,USFS,28772,Lightning,2002,21,2000-07-13
SKU-2739,Siskiyou,Mussolini,2002-07-13,2002-07-16,CDF,3260,Equip. Use,2002,4,2000-07-13
SKU-2739,Siskiyou,Mussolini,2002-07-13,2002-07-16,CDF,3260,Equip. Use,2002,4,2000-07-13
MVU-5177,San Diego,Garnet,2002-07-13,2002-07-16,USFS/CDF,1166,Undetermined,2002,4,2000-07-13
MVU-5177,San Diego,Garnet,2002-07-13,2002-07-16,USFS/CDF,1166,Undetermined,2002,4,2000-07-13
LMU-3180,Lassen,BLM #587,2002-07-13,2002-07-20,BLM,500,Lightning,2002,8,2000-07-13
LMU-3180,Lassen,BLM #587,2002-07-13,2002-07-20,BLM,500,Lightning,2002,8,2000-07-13
LMU-2124,Modoc,Knox/Annie,2002-07-14,2002-07-14,BLM,300,Lightning,2002,1,2000-07-14
LMU-2124,Modoc,Knox/Annie,2002-07-14,2002-07-14,BLM,300,Lightning,2002,1,2000-07-14
BDU-6371,Inyo,Inyo Complex,2002-07-15,2002-07-16,USFS,6550,Lightning,2002,2,2000-07-15
BDU-6371,Inyo,Inyo Complex,2002-07-15,2002-07-16,USFS,6550,Lightning,2002,2,2000-07-15
